2D FM Ising; L=128; T=1.50; s_hi=1.00; s_Hi=1.22; MC steps= 1.00e+04; repeat=200; Final_E=-29143.79; Final_M=-756;
mc_step,mag,energy,domain_len
0,0.00000000,-1.96839063,256.00000000
1,0.00027283,-1.90412604,1088.60000000
2,0.00016052,-1.87077422,1535.85000000
3,0.00036865,-1.85083554,1815.42000000
4,0.00012756,-1.83672242,2020.56000000
5,0.00019775,-1.82802605,2159.05000000
6,0.00096375,-1.82055968,2278.98000000
7,0.00091309,-1.81414397,2384.90000000
8,0.00078003,-1.80993028,2461.94000000
9,0.00071655,-1.80652446,2532.72000000
10,0.00087097,-1.80218705,2608.08000000
11,0.00060730,-1.79945811,2667.52000000
12,0.00072571,-1.79791190,2707.91000000
13,0.00092346,-1.79501228,2762.78000000
14,0.00072693,-1.79380305,2798.31000000
15,0.00108459,-1.79205431,2838.84000000
16,0.00085388,-1.79048618,2878.59000000
17,0.00117310,-1.78899945,2920.77000000
18,0.00082581,-1.78685716,2963.11000000
19,0.00065491,-1.78508371,3002.11000000
20,0.00073120,-1.78309464,3041.71000000
21,0.00044983,-1.78223285,3070.28000000
22,0.00016846,-1.78146862,3096.49000000
23,0.00053894,-1.78022538,3125.84000000
24,0.00064392,-1.77910376,3151.03000000
25,0.00056702,-1.77792888,3182.21000000
26,0.00104736,-1.77676951,3212.38000000
27,0.00080505,-1.77651316,3227.80000000
28,0.00074036,-1.77637471,3243.11000000
29,0.00057373,-1.77596727,3262.70000000
30,0.00091553,-1.77535676,3277.43000000
31,0.00039795,-1.77472127,3299.96000000
32,0.00046631,-1.77410571,3320.62000000
33,0.00051575,-1.77340893,3340.40000000
34,0.00053040,-1.77284024,3356.48000000
35,0.00009399,-1.77321753,3364.93000000
36,0.00034302,-1.77298399,3376.97000000
37,-0.00005554,-1.77149534,3403.63000000
38,0.00042053,-1.77116621,3415.77000000
39,0.00087952,-1.77070903,3427.62000000
40,0.00135803,-1.77050659,3436.11000000
41,0.00077026,-1.76995694,3457.12000000
42,0.00024170,-1.76959805,3471.98000000
43,0.00001343,-1.76906110,3486.81000000
44,0.00017395,-1.76809114,3507.19000000
45,0.00022095,-1.76809712,3514.64000000
46,0.00029602,-1.76928202,3512.47000000
47,0.00075623,-1.76880365,3530.69000000
48,0.00085632,-1.76787398,3542.75000000
49,0.00060913,-1.76724894,3558.04000000
50,0.00045044,-1.76706182,3567.99000000
51,0.00010132,-1.76730819,3576.97000000
52,-0.00033142,-1.76663434,3594.09000000
53,-0.00055298,-1.76595131,3606.36000000
54,-0.00033569,-1.76602786,3612.92000000
55,-0.00037903,-1.76621338,3614.34000000
56,-0.00083435,-1.76565313,3624.44000000
57,-0.00061035,-1.76618475,3627.45000000
58,-0.00034668,-1.76550446,3642.92000000
59,-0.00012207,-1.76518094,3646.29000000
60,-0.00049683,-1.76479468,3659.38000000
61,-0.00066284,-1.76449608,3674.74000000
62,-0.00063721,-1.76537089,3672.84000000
63,-0.00067200,-1.76542320,3678.97000000
64,-0.00115173,-1.76535825,3680.58000000
65,-0.00133850,-1.76523829,3688.29000000
66,-0.00135681,-1.76470165,3699.12000000
67,-0.00053223,-1.76470823,3705.92000000
68,-0.00040588,-1.76577217,3701.81000000
69,-0.00037048,-1.76571379,3709.11000000
70,-0.00054016,-1.76492776,3720.21000000
71,-0.00025085,-1.76436574,3729.01000000
72,-0.00043884,-1.76455443,3735.60000000
73,-0.00021606,-1.76390373,3747.64000000
74,-0.00045532,-1.76290447,3760.35000000
75,-0.00049316,-1.76286950,3766.73000000
76,-0.00064758,-1.76321735,3770.80000000
77,-0.00023315,-1.76333821,3775.23000000
78,-0.00060852,-1.76356343,3776.77000000
79,-0.00058960,-1.76341781,3782.37000000
80,-0.00028809,-1.76378259,3779.71000000
81,-0.00016113,-1.76419262,3781.03000000
82,-0.00043823,-1.76374540,3789.35000000
83,-0.00018555,-1.76381822,3793.87000000
84,-0.00084290,-1.76401890,3795.93000000
85,-0.00041077,-1.76373208,3805.25000000
86,0.00011597,-1.76402270,3801.33000000
87,-0.00015503,-1.76382657,3810.96000000
88,-0.00080444,-1.76382415,3813.54000000
89,-0.00041504,-1.76466693,3810.88000000
90,-0.00052307,-1.76416842,3819.32000000
91,-0.00059998,-1.76430946,3824.97000000
92,-0.00035461,-1.76400250,3825.55000000
93,-0.00033691,-1.76327509,3837.04000000
94,-0.00002625,-1.76371671,3838.06000000
95,0.00013062,-1.76449388,3835.14000000
96,0.00061157,-1.76423955,3842.42000000
97,0.00062744,-1.76401402,3842.89000000
98,0.00063782,-1.76419105,3843.67000000
99,0.00055054,-1.76457918,3841.77000000
100,0.00085144,-1.76502861,3842.82000000
101,0.00079163,-1.76504288,3843.13000000
102,0.00051392,-1.76405841,3856.43000000
103,0.00098511,-1.76367233,3864.43000000
104,0.00083435,-1.76391818,3863.16000000
105,0.00037048,-1.76430403,3860.39000000
106,0.00113892,-1.76443184,3864.08000000
107,0.00172668,-1.76385208,3873.88000000
108,0.00176819,-1.76431258,3870.70000000
109,0.00152771,-1.76444133,3874.89000000
110,0.00232788,-1.76403626,3881.75000000
111,0.00236694,-1.76362527,3890.88000000
112,0.00195190,-1.76311477,3897.07000000
113,0.00207886,-1.76397583,3889.59000000
114,0.00234680,-1.76470357,3884.60000000
115,0.00217529,-1.76423489,3894.76000000
116,0.00242371,-1.76474672,3888.78000000
117,0.00219055,-1.76398973,3897.83000000
118,0.00179138,-1.76422247,3894.97000000
119,0.00204163,-1.76514428,3892.35000000
120,0.00153137,-1.76536521,3889.41000000
121,0.00121582,-1.76507788,3893.85000000
122,0.00147400,-1.76459163,3900.92000000
123,0.00134888,-1.76499502,3899.11000000
124,0.00093384,-1.76596617,3894.45000000
125,0.00121338,-1.76522882,3901.58000000
126,0.00093018,-1.76544730,3898.55000000
127,0.00109497,-1.76532495,3903.14000000
128,0.00050964,-1.76577581,3905.57000000
129,0.00074463,-1.76552357,3905.45000000
130,0.00099487,-1.76537289,3911.82000000
131,0.00100525,-1.76543773,3911.88000000
132,0.00050598,-1.76501136,3918.22000000
133,0.00078003,-1.76484536,3922.83000000
134,0.00072632,-1.76447345,3927.11000000
135,0.00013428,-1.76549522,3923.99000000
136,0.00005310,-1.76605693,3915.16000000
137,0.00002502,-1.76571229,3921.02000000
138,0.00056274,-1.76621528,3916.16000000
139,0.00052368,-1.76703444,3912.30000000
140,0.00073547,-1.76653693,3917.88000000
141,0.00083313,-1.76638375,3917.96000000
142,0.00130676,-1.76596977,3922.17000000
143,0.00105652,-1.76650879,3921.55000000
144,0.00108215,-1.76633258,3921.14000000
145,0.00132751,-1.76684237,3919.53000000
146,0.00117615,-1.76658232,3920.53000000
147,0.00060303,-1.76648750,3926.01000000
148,0.00011230,-1.76661407,3930.25000000
149,0.00016479,-1.76681742,3927.06000000
150,0.00043518,-1.76607677,3935.91000000
151,0.00014954,-1.76644675,3935.26000000
152,0.00031433,-1.76583571,3942.76000000
153,0.00025208,-1.76559481,3949.07000000
