2D FM Ising; L=128; T=0.50; s_hi=1.00; s_Hi=0.71; MC steps= 1.00e+04; repeat=500; Final_E=-32779.82; Final_M=880;
mc_step,mag,energy,domain_len
0,0.00000000,-1.96826636,256.00000000
1,-0.00008301,-1.96820862,304.52800000
2,-0.00006421,-1.96891850,324.66400000
3,-0.00010010,-1.96967536,336.72400000
4,-0.00014844,-1.97034323,344.35200000
5,-0.00015137,-1.97099158,349.81200000
6,-0.00017725,-1.97151629,353.43200000
7,-0.00020605,-1.97199033,356.81200000
8,-0.00029150,-1.97237667,360.04000000
9,-0.00028296,-1.97273605,362.64400000
10,-0.00031567,-1.97302737,365.60000000
11,-0.00030566,-1.97332657,366.69600000
12,-0.00025708,-1.97358120,368.63200000
13,-0.00028394,-1.97383629,369.81200000
14,-0.00025977,-1.97403291,371.80800000
15,-0.00032104,-1.97418625,373.67200000
16,-0.00027124,-1.97439214,374.39600000
17,-0.00025806,-1.97455052,376.23600000
18,-0.00030957,-1.97471387,377.50400000
19,-0.00033472,-1.97488230,378.53600000
20,-0.00035596,-1.97499509,379.60400000
21,-0.00035669,-1.97510742,381.43600000
22,-0.00035864,-1.97523643,382.25200000
23,-0.00033472,-1.97533784,383.06800000
24,-0.00035327,-1.97545867,383.65600000
25,-0.00031641,-1.97558975,384.34000000
26,-0.00031787,-1.97567241,385.30400000
27,-0.00031982,-1.97576336,386.30000000
28,-0.00033960,-1.97585192,386.98400000
29,-0.00031689,-1.97595627,387.25600000
30,-0.00033032,-1.97601191,388.32000000
31,-0.00033325,-1.97604900,389.05200000
32,-0.00032861,-1.97615402,389.05200000
33,-0.00031763,-1.97618855,391.02000000
34,-0.00035889,-1.97625957,391.83600000
35,-0.00037915,-1.97631527,392.22400000
36,-0.00038574,-1.97642757,392.22400000
37,-0.00044580,-1.97650701,392.41200000
38,-0.00043140,-1.97657450,393.11200000
39,-0.00044507,-1.97658879,394.41200000
40,-0.00047339,-1.97665063,394.88000000
41,-0.00047681,-1.97674994,394.74000000
42,-0.00040601,-1.97681346,396.02800000
43,-0.00044873,-1.97688491,396.43200000
44,-0.00043555,-1.97690032,397.04800000
45,-0.00044824,-1.97692934,398.58400000
46,-0.00041626,-1.97699753,398.48000000
47,-0.00038916,-1.97704624,398.45600000
48,-0.00042529,-1.97710990,398.94400000
49,-0.00041699,-1.97715541,399.77600000
50,-0.00038916,-1.97717542,400.30000000
51,-0.00044434,-1.97728048,399.63600000
52,-0.00038965,-1.97734912,399.74000000
53,-0.00040283,-1.97740332,399.97200000
54,-0.00041528,-1.97742153,400.83200000
55,-0.00046143,-1.97742217,401.77600000
56,-0.00043921,-1.97745404,402.36400000
57,-0.00050659,-1.97752702,402.31600000
58,-0.00043457,-1.97759745,402.47600000
59,-0.00040674,-1.97761944,403.17200000
60,-0.00045557,-1.97764287,404.14800000
61,-0.00044873,-1.97771525,403.25200000
62,-0.00044897,-1.97774225,403.44800000
63,-0.00048950,-1.97774336,403.91600000
64,-0.00044238,-1.97781204,403.89600000
65,-0.00044360,-1.97784083,404.70800000
66,-0.00047266,-1.97787405,405.71600000
67,-0.00046777,-1.97786970,406.78400000
68,-0.00050952,-1.97791777,406.67600000
69,-0.00047119,-1.97793052,407.57600000
70,-0.00049219,-1.97798425,407.34000000
71,-0.00051001,-1.97802284,407.78800000
72,-0.00051929,-1.97804565,407.76400000
73,-0.00050903,-1.97809736,407.38800000
74,-0.00054834,-1.97816554,407.32400000
75,-0.00054346,-1.97815484,408.60000000
76,-0.00054126,-1.97816447,409.49600000
77,-0.00055713,-1.97820765,409.16000000
78,-0.00046069,-1.97823063,410.32800000
79,-0.00050757,-1.97823706,410.68000000
80,-0.00043774,-1.97826333,410.87600000
81,-0.00042139,-1.97833206,410.10000000
82,-0.00042725,-1.97834667,410.73600000
83,-0.00048901,-1.97838802,410.72000000
84,-0.00050635,-1.97840263,410.92400000
85,-0.00049609,-1.97844617,410.78800000
86,-0.00050781,-1.97845010,410.96000000
87,-0.00051733,-1.97846225,411.81200000
88,-0.00047534,-1.97848101,411.83200000
89,-0.00051440,-1.97854189,411.42000000
90,-0.00048315,-1.97854494,412.40800000
91,-0.00048633,-1.97859020,412.33600000
92,-0.00049194,-1.97856689,413.71200000
93,-0.00045264,-1.97860519,413.94000000
94,-0.00041919,-1.97861570,413.75200000
95,-0.00038403,-1.97864344,414.03200000
96,-0.00044067,-1.97871393,413.80400000
97,-0.00044678,-1.97871495,414.60800000
98,-0.00047925,-1.97869467,415.38400000
99,-0.00046533,-1.97872046,415.31200000
100,-0.00049536,-1.97875871,415.37200000
101,-0.00045386,-1.97879961,414.65600000
102,-0.00044604,-1.97884652,414.78800000
103,-0.00044678,-1.97886893,415.59200000
104,-0.00042212,-1.97886460,416.67200000
105,-0.00047876,-1.97887419,416.80000000
106,-0.00041968,-1.97892005,417.17600000
107,-0.00041187,-1.97896059,416.46800000
108,-0.00035132,-1.97896435,416.34800000
109,-0.00034180,-1.97896022,417.06800000
110,-0.00037817,-1.97898323,416.86400000
111,-0.00046729,-1.97902935,417.03600000
112,-0.00052612,-1.97902917,417.90000000
113,-0.00048120,-1.97904557,418.43200000
114,-0.00052148,-1.97905783,418.86800000
