2D FM Ising; L=64; T=0.50; s_hi=1.00; s_Hi=0.71; MC steps= 1.00e+04; repeat=500; Final_E=-8165.83; Final_M=4080;
mc_step,mag,energy,domain_len
0,1.00000000,-1.99981121,0.00000000
1,0.99952539,-1.99937494,3.69200000
2,0.99930566,-1.99922478,5.21200000
3,0.99916699,-1.99913241,6.12400000
4,0.99909082,-1.99910879,6.53600000
5,0.99902246,-1.99904359,7.04000000
6,0.99898438,-1.99903803,7.20000000
7,0.99892383,-1.99902788,7.47200000
8,0.99888281,-1.99899630,7.78400000
9,0.99885937,-1.99904618,7.70800000
10,0.99884473,-1.99901177,7.83600000
11,0.99881738,-1.99901368,7.91600000
12,0.99876855,-1.99899421,8.19200000
13,0.99879492,-1.99903129,7.94800000
14,0.99876562,-1.99906141,8.06400000
15,0.99875684,-1.99903079,8.02000000
16,0.99871680,-1.99905287,8.17600000
17,0.99873437,-1.99907113,7.99200000
18,0.99872559,-1.99910000,7.94400000
19,0.99868457,-1.99908484,8.17200000
20,0.99864355,-1.99906669,8.39600000
21,0.99863965,-1.99905581,8.48400000
22,0.99859082,-1.99902146,8.76800000
23,0.99857520,-1.99901414,8.71600000
24,0.99852539,-1.99901144,8.88800000
25,0.99846973,-1.99899529,9.20400000
26,0.99842773,-1.99896681,9.58000000
27,0.99846680,-1.99902375,9.19200000
28,0.99848145,-1.99901562,9.11600000
29,0.99842676,-1.99896946,9.43600000
30,0.99843359,-1.99900274,9.24400000
31,0.99845313,-1.99905080,9.06800000
32,0.99838281,-1.99900409,9.48800000
33,0.99833594,-1.99899479,9.65600000
34,0.99833594,-1.99900952,9.56400000
35,0.99826855,-1.99895804,10.06000000
36,0.99828418,-1.99900352,9.82000000
37,0.99826465,-1.99900058,9.84800000
38,0.99823242,-1.99894416,10.06400000
39,0.99825098,-1.99895711,9.96000000
40,0.99827734,-1.99897739,9.74800000
41,0.99822559,-1.99901331,9.87600000
42,0.99818457,-1.99892702,10.31200000
43,0.99820508,-1.99894913,10.08400000
44,0.99822559,-1.99897712,9.92000000
45,0.99824512,-1.99899368,9.82400000
46,0.99821387,-1.99896333,9.94000000
47,0.99817578,-1.99897484,10.07600000
48,0.99818652,-1.99900347,10.00400000
49,0.99819336,-1.99901202,9.95200000
50,0.99825000,-1.99905115,9.59200000
51,0.99823828,-1.99905229,9.65200000
52,0.99820703,-1.99903417,9.76000000
53,0.99818652,-1.99903849,9.88800000
54,0.99819043,-1.99904553,9.86000000
55,0.99815234,-1.99902294,10.04000000
56,0.99810547,-1.99898802,10.27200000
57,0.99807813,-1.99898544,10.46400000
58,0.99808594,-1.99899364,10.24800000
59,0.99812598,-1.99903819,9.92000000
60,0.99806934,-1.99897251,10.35200000
61,0.99806250,-1.99896994,10.40800000
62,0.99808496,-1.99900408,10.22400000
63,0.99808984,-1.99901904,10.12800000
64,0.99809863,-1.99898662,10.15200000
65,0.99807031,-1.99898749,10.26000000
66,0.99803125,-1.99897412,10.34000000
67,0.99800488,-1.99897868,10.48400000
68,0.99801855,-1.99899536,10.38400000
69,0.99804883,-1.99905864,10.11600000
70,0.99801758,-1.99904698,10.38000000
71,0.99795117,-1.99895019,10.78800000
72,0.99796973,-1.99897615,10.58800000
73,0.99795215,-1.99896825,10.60400000
74,0.99795605,-1.99901972,10.56000000
75,0.99799902,-1.99901254,10.25200000
76,0.99797559,-1.99905298,10.30000000
77,0.99794141,-1.99901421,10.48800000
78,0.99787891,-1.99899306,10.88000000
79,0.99784082,-1.99895036,11.08400000
80,0.99783789,-1.99894624,11.05600000
81,0.99784961,-1.99898749,10.95600000
82,0.99784766,-1.99899539,10.92400000
83,0.99789941,-1.99904992,10.52000000
84,0.99784180,-1.99901241,10.90800000
85,0.99783496,-1.99900239,10.84400000
86,0.99779297,-1.99896471,11.23200000
87,0.99785059,-1.99901657,10.82800000
88,0.99778906,-1.99895105,11.33600000
89,0.99775684,-1.99892448,11.48400000
90,0.99773633,-1.99894481,11.52400000
91,0.99776953,-1.99898168,11.28400000
92,0.99777930,-1.99898833,11.15200000
93,0.99774805,-1.99896268,11.27200000
94,0.99772656,-1.99895078,11.58400000
95,0.99766895,-1.99889786,11.91600000
96,0.99769238,-1.99890847,11.65600000
97,0.99764746,-1.99892070,11.84400000
98,0.99766309,-1.99898790,11.60000000
99,0.99769434,-1.99899031,11.47600000
100,0.99767383,-1.99896606,11.38000000
101,0.99763379,-1.99894934,11.69200000
102,0.99760645,-1.99891570,11.87200000
103,0.99761133,-1.99893978,11.61600000
104,0.99761621,-1.99893640,11.65200000
