2D FM Ising; L=256; T=0.50; s_hi=1.00; s_Hi=0.71; MC steps= 1.00e+05; repeat=100; Final_E=-130941.59; Final_M=-2046;
mc_step,mag,energy,domain_len
0,0.00000000,-1.98419167,512.00000000
1,-0.00002014,-1.98429851,596.84000000
2,-0.00005707,-1.98468670,628.88000000
3,-0.00006775,-1.98504912,650.82000000
4,-0.00004852,-1.98535198,661.80000000
5,-0.00003204,-1.98561544,669.32000000
6,0.00000793,-1.98586073,676.00000000
7,-0.00000977,-1.98603339,683.54000000
8,-0.00004150,-1.98621075,687.16000000
9,-0.00002075,-1.98636323,692.36000000
10,-0.00001038,-1.98651080,695.62000000
11,-0.00001465,-1.98663788,699.14000000
12,-0.00003723,-1.98675046,701.70000000
13,-0.00005188,-1.98684973,705.02000000
14,-0.00005280,-1.98695096,708.38000000
15,0.00000549,-1.98703742,710.62000000
16,-0.00002075,-1.98711018,712.52000000
17,-0.00002747,-1.98719720,717.04000000
18,-0.00005096,-1.98725172,720.50000000
19,-0.00005157,-1.98732281,720.98000000
20,-0.00009064,-1.98738989,723.08000000
21,-0.00006866,-1.98743108,725.14000000
22,-0.00007416,-1.98748755,725.36000000
23,-0.00005157,-1.98755145,726.98000000
24,-0.00007538,-1.98759295,728.64000000
25,-0.00006744,-1.98765761,729.04000000
26,-0.00005676,-1.98770234,733.12000000
27,-0.00006989,-1.98772278,736.98000000
28,-0.00005524,-1.98775666,737.60000000
29,-0.00003571,-1.98779172,737.70000000
30,-0.00007416,-1.98781271,739.98000000
31,-0.00005066,-1.98784717,744.04000000
32,-0.00006897,-1.98789524,743.84000000
33,-0.00007385,-1.98793610,742.68000000
34,-0.00007751,-1.98797468,743.04000000
35,-0.00006195,-1.98800356,744.56000000
36,-0.00006073,-1.98801885,747.08000000
37,-0.00008057,-1.98805270,748.38000000
38,-0.00005615,-1.98807587,749.02000000
39,-0.00009338,-1.98811322,749.00000000
40,-0.00010651,-1.98814188,750.38000000
41,-0.00010437,-1.98817593,752.26000000
42,-0.00007935,-1.98821235,753.24000000
43,-0.00010010,-1.98821158,755.66000000
44,-0.00014801,-1.98824483,755.60000000
45,-0.00010498,-1.98825956,757.30000000
46,-0.00010437,-1.98829479,757.48000000
47,-0.00012939,-1.98832605,758.60000000
48,-0.00014221,-1.98833916,759.64000000
49,-0.00013855,-1.98836968,760.32000000
50,-0.00017365,-1.98837273,761.76000000
51,-0.00016876,-1.98839216,762.22000000
52,-0.00019379,-1.98842173,762.44000000
53,-0.00014282,-1.98844285,762.96000000
54,-0.00013306,-1.98848127,762.48000000
55,-0.00013184,-1.98848805,764.64000000
56,-0.00012756,-1.98849794,765.24000000
57,-0.00009338,-1.98853753,767.52000000
58,-0.00010529,-1.98857693,766.32000000
59,-0.00011292,-1.98856925,768.30000000
60,-0.00009399,-1.98856961,770.70000000
61,-0.00009644,-1.98859827,769.38000000
62,-0.00011810,-1.98864190,767.92000000
63,-0.00012329,-1.98866852,768.94000000
64,-0.00013336,-1.98866247,771.48000000
65,-0.00017578,-1.98866363,773.26000000
66,-0.00015778,-1.98872140,770.94000000
67,-0.00015320,-1.98872520,774.44000000
68,-0.00009247,-1.98875249,774.44000000
69,-0.00012665,-1.98874170,777.22000000
70,-0.00010345,-1.98876279,777.00000000
71,-0.00010437,-1.98875739,779.72000000
72,-0.00016205,-1.98877779,779.94000000
73,-0.00010925,-1.98879569,780.60000000
74,-0.00009277,-1.98880735,781.26000000
75,-0.00008362,-1.98881469,782.92000000
76,-0.00005859,-1.98883386,783.16000000
77,-0.00005280,-1.98887159,781.28000000
78,-0.00008636,-1.98887991,781.72000000
79,-0.00008118,-1.98889383,782.80000000
80,-0.00005188,-1.98891824,783.58000000
81,-0.00009064,-1.98895129,782.52000000
82,-0.00009247,-1.98895869,783.48000000
83,-0.00004456,-1.98895734,785.34000000
84,-0.00004272,-1.98895119,786.34000000
85,-0.00002960,-1.98894942,788.30000000
