2D FM Ising; L=128; T=1.00; s_hi=1.00; s_Hi=1.00; MC steps= 3.00e+04; repeat=1000; Final_E=-31990.51; Final_M=-2994;
mc_step,mag,energy,domain_len
0,0.00000000,-1.96863355,256.00000000
1,0.00002686,-1.95619692,490.14000000
2,0.00005908,-1.95116998,600.63200000
3,-0.00006189,-1.94896178,662.75600000
4,0.00003113,-1.94779345,702.77000000
5,-0.00003064,-1.94703610,732.97400000
6,-0.00010938,-1.94688903,752.96200000
7,-0.00015723,-1.94665302,771.27200000
8,-0.00008508,-1.94647837,787.38600000
9,0.00003064,-1.94636576,800.86800000
10,-0.00000061,-1.94646972,809.72600000
11,-0.00001086,-1.94636018,821.40800000
12,-0.00003223,-1.94626473,831.18200000
13,0.00000085,-1.94635055,838.45600000
14,-0.00001599,-1.94640789,846.67400000
15,-0.00005652,-1.94644964,854.06600000
16,-0.00007983,-1.94657287,859.84400000
17,-0.00003418,-1.94655591,867.36000000
18,-0.00013306,-1.94666997,871.60000000
19,-0.00013684,-1.94662207,878.00200000
20,-0.00013464,-1.94669832,882.79000000
21,-0.00027014,-1.94667402,888.67000000
22,-0.00017761,-1.94675597,893.75600000
23,-0.00015979,-1.94666510,900.79200000
24,-0.00026245,-1.94669577,905.43200000
25,-0.00026318,-1.94683430,908.34800000
26,-0.00020715,-1.94694710,912.92600000
27,-0.00016589,-1.94698864,916.51600000
28,-0.00021143,-1.94690706,921.89600000
29,-0.00022949,-1.94707321,925.37600000
30,-0.00016919,-1.94696992,931.30200000
31,-0.00013635,-1.94714538,933.09600000
32,-0.00014111,-1.94716273,936.54200000
33,-0.00010864,-1.94707006,942.16000000
34,-0.00005115,-1.94698948,946.85600000
35,-0.00008557,-1.94716456,948.21800000
36,-0.00012390,-1.94718500,952.10000000
37,-0.00002515,-1.94727523,955.19600000
38,-0.00003149,-1.94724317,959.09800000
39,-0.00011438,-1.94728512,962.08200000
40,-0.00006775,-1.94726035,965.11200000
41,-0.00011877,-1.94717160,970.13800000
42,-0.00005383,-1.94713034,974.08000000
43,-0.00003088,-1.94733218,975.08200000
44,-0.00008936,-1.94727808,978.90000000
45,-0.00011353,-1.94711630,983.21000000
46,-0.00001770,-1.94720714,984.91200000
47,0.00003284,-1.94727562,987.00200000
48,0.00000122,-1.94731964,988.57600000
49,-0.00009351,-1.94728834,991.55200000
50,-0.00005981,-1.94728799,995.61400000
51,-0.00003796,-1.94735984,997.93800000
52,-0.00003638,-1.94748243,998.57600000
53,-0.00012781,-1.94756680,1000.99200000
54,-0.00026599,-1.94750391,1004.50600000
55,-0.00023352,-1.94737240,1008.59400000
56,-0.00033240,-1.94735189,1010.49000000
57,-0.00027393,-1.94740176,1012.37200000
58,-0.00025659,-1.94746403,1014.11000000
59,-0.00022937,-1.94749029,1017.36800000
60,-0.00036829,-1.94755501,1018.61600000
61,-0.00030493,-1.94761674,1021.28800000
62,-0.00037903,-1.94761765,1023.25000000
63,-0.00038550,-1.94760445,1025.45800000
64,-0.00037341,-1.94748574,1029.65400000
65,-0.00047156,-1.94746127,1031.56400000
66,-0.00043188,-1.94755182,1033.39600000
67,-0.00035974,-1.94757447,1035.26200000
68,-0.00040430,-1.94768627,1035.95000000
69,-0.00041443,-1.94765488,1037.34600000
70,-0.00036279,-1.94770493,1038.75000000
71,-0.00037122,-1.94764925,1040.95400000
72,-0.00038110,-1.94771264,1042.73200000
73,-0.00040039,-1.94762076,1046.70600000
74,-0.00033325,-1.94771265,1048.38200000
75,-0.00028076,-1.94775216,1049.43800000
76,-0.00029810,-1.94763871,1052.77800000
77,-0.00036560,-1.94781203,1052.96800000
78,-0.00028247,-1.94788440,1053.54800000
79,-0.00032947,-1.94780440,1055.87400000
80,-0.00043665,-1.94787749,1056.91800000
81,-0.00035535,-1.94795300,1057.55600000
82,-0.00040173,-1.94777107,1061.80200000
83,-0.00039636,-1.94773229,1064.55800000
84,-0.00035168,-1.94771882,1065.94000000
85,-0.00043018,-1.94776127,1067.69000000
86,-0.00037183,-1.94782531,1068.12800000
87,-0.00045813,-1.94775659,1070.55200000
88,-0.00063416,-1.94777748,1072.34800000
89,-0.00061914,-1.94787880,1072.63200000
90,-0.00058911,-1.94786484,1075.31200000
91,-0.00056689,-1.94774603,1077.74800000
92,-0.00064246,-1.94775617,1078.99000000
93,-0.00053589,-1.94783152,1080.40800000
94,-0.00054065,-1.94788989,1081.35800000
95,-0.00038684,-1.94792525,1083.00600000
