2D FM Ising; L=64; T=1.00; s_hi=1.00; s_Hi=1.00; MC steps= 3.00e+04; repeat=2000; Final_E=-7984.00; Final_M=978;
mc_step,mag,energy,domain_len
0,0.00000000,-1.93742848,128.00000000
1,0.00004736,-1.92376668,201.09900000
2,-0.00002466,-1.91911507,234.20300000
3,-0.00005151,-1.91745034,252.69300000
4,-0.00017896,-1.91687636,264.93800000
5,-0.00000415,-1.91698200,273.41700000
6,0.00001831,-1.91713359,280.24600000
7,0.00016211,-1.91735221,285.55700000
8,0.00000610,-1.91747723,290.84600000
9,0.00010278,-1.91796321,293.77700000
10,-0.00005859,-1.91838246,296.94900000
11,-0.00003345,-1.91851193,300.61600000
12,0.00025049,-1.91878609,303.09800000
13,0.00041846,-1.91908631,305.68700000
14,0.00055396,-1.91951665,307.59900000
15,0.00041064,-1.91965775,309.96700000
16,0.00035913,-1.91976865,312.20400000
17,0.00039087,-1.92007631,314.02700000
18,0.00056567,-1.92018681,316.03300000
19,0.00049634,-1.92053070,317.25800000
20,0.00074854,-1.92052369,319.76200000
21,0.00091284,-1.92074539,320.92400000
22,0.00098511,-1.92096738,322.11600000
23,0.00098877,-1.92088953,324.58100000
24,0.00096826,-1.92106260,326.02600000
25,0.00109326,-1.92143815,326.71500000
26,0.00106885,-1.92164865,327.75800000
27,0.00085767,-1.92170759,329.35400000
28,0.00077881,-1.92176717,331.26000000
29,0.00081372,-1.92184264,331.96600000
30,0.00094971,-1.92213878,332.86000000
31,0.00072607,-1.92229028,333.69000000
32,0.00068506,-1.92250328,335.02200000
33,0.00077319,-1.92271029,335.96700000
34,0.00076855,-1.92273289,336.72800000
35,0.00074927,-1.92281758,337.92100000
36,0.00069043,-1.92313093,338.55400000
37,0.00091626,-1.92339214,339.21700000
38,0.00095654,-1.92344160,339.72300000
39,0.00092334,-1.92363608,340.47400000
40,0.00099414,-1.92382051,341.63500000
41,0.00109546,-1.92407011,342.10400000
42,0.00107324,-1.92409717,342.78700000
43,0.00117432,-1.92409108,343.91300000
44,0.00113550,-1.92409471,344.98300000
45,0.00128418,-1.92423787,345.30500000
46,0.00121777,-1.92415721,346.76100000
47,0.00120605,-1.92430108,347.11300000
48,0.00126709,-1.92455023,347.60200000
49,0.00123047,-1.92473952,347.86100000
50,0.00128345,-1.92488649,348.37800000
51,0.00131079,-1.92493921,349.07200000
52,0.00136304,-1.92493961,350.39400000
53,0.00128418,-1.92492714,351.68900000
54,0.00128027,-1.92513266,352.36600000
55,0.00127930,-1.92501198,353.34600000
56,0.00137061,-1.92522530,353.67900000
57,0.00137817,-1.92541114,353.71800000
58,0.00138818,-1.92538258,354.59800000
59,0.00146802,-1.92528425,355.53100000
60,0.00160034,-1.92576022,354.95400000
61,0.00160645,-1.92570416,355.77400000
62,0.00167090,-1.92589021,355.99500000
63,0.00163599,-1.92558635,357.62800000
64,0.00159204,-1.92583100,358.02100000
65,0.00153198,-1.92612322,358.14400000
66,0.00168481,-1.92604016,358.87100000
67,0.00155737,-1.92618061,359.28200000
68,0.00148877,-1.92629225,359.34800000
69,0.00158203,-1.92609221,360.61400000
70,0.00124731,-1.92610517,361.56800000
71,0.00140039,-1.92612667,361.85500000
72,0.00158447,-1.92623987,362.54800000
73,0.00170703,-1.92647175,362.87000000
74,0.00176147,-1.92656704,363.34100000
75,0.00188818,-1.92672676,363.37100000
76,0.00200000,-1.92687386,363.38200000
77,0.00172998,-1.92713342,363.41800000
78,0.00201099,-1.92693884,364.74300000
79,0.00208350,-1.92694897,365.18300000
80,0.00209839,-1.92724221,364.87700000
81,0.00224170,-1.92704446,366.03200000
82,0.00212646,-1.92684157,367.13400000
83,0.00211987,-1.92694595,367.52100000
84,0.00228491,-1.92711854,367.53900000
85,0.00217969,-1.92741569,367.34600000
86,0.00239136,-1.92737998,368.07400000
87,0.00232544,-1.92741810,368.64400000
88,0.00207471,-1.92738730,369.22400000
89,0.00189526,-1.92731528,369.87900000
90,0.00197900,-1.92752786,370.01100000
91,0.00210571,-1.92748534,370.73600000
92,0.00211865,-1.92762226,371.02500000
93,0.00233447,-1.92770627,371.12900000
94,0.00213672,-1.92787814,371.21100000
95,0.00216431,-1.92783058,371.82000000
96,0.00208740,-1.92769084,372.63900000
97,0.00228564,-1.92766949,372.90500000
98,0.00221973,-1.92767106,373.47100000
99,0.00221021,-1.92781119,373.36200000
100,0.00227075,-1.92787612,374.03000000
101,0.00225513,-1.92786357,374.17700000
102,0.00204980,-1.92783208,375.10000000
103,0.00227905,-1.92824690,374.49400000
104,0.00224023,-1.92823210,374.82400000
105,0.00221997,-1.92850305,374.61300000
106,0.00239429,-1.92844577,375.16600000
107,0.00242456,-1.92842608,375.77400000
108,0.00248096,-1.92834889,376.74800000
109,0.00237573,-1.92827812,377.33500000
110,0.00219556,-1.92830710,377.90100000
111,0.00213916,-1.92860112,377.43100000
112,0.00220068,-1.92871707,377.49500000
113,0.00216260,-1.92864448,378.04200000
114,0.00205566,-1.92868046,378.82500000
115,0.00199365,-1.92867247,379.25900000
116,0.00191895,-1.92873904,379.50000000
117,0.00208105,-1.92878577,380.20900000
118,0.00218433,-1.92871823,380.72900000
119,0.00224219,-1.92879495,380.79500000
120,0.00237158,-1.92881068,381.21600000
121,0.00237036,-1.92884566,381.19300000
122,0.00208667,-1.92878851,381.57700000
123,0.00193237,-1.92892810,381.70500000
124,0.00182153,-1.92898485,382.50000000
125,0.00191187,-1.92905415,382.59600000
126,0.00198315,-1.92883823,383.44400000
127,0.00202173,-1.92908456,383.52000000
128,0.00188818,-1.92917590,383.51700000
129,0.00205396,-1.92931381,383.58000000
130,0.00214868,-1.92917585,384.31900000
131,0.00208228,-1.92924989,384.60600000
132,0.00202856,-1.92903770,385.70300000
133,0.00195337,-1.92913549,385.78400000
134,0.00195996,-1.92922580,385.80400000
135,0.00184766,-1.92923143,386.02300000
136,0.00167749,-1.92942030,385.70800000
137,0.00182617,-1.92950075,386.32900000
138,0.00197803,-1.92948325,386.46300000
139,0.00187598,-1.92945240,387.28000000
140,0.00197461,-1.92940008,387.61300000
141,0.00203247,-1.92959787,387.30800000
142,0.00179468,-1.92963176,387.57200000
143,0.00191162,-1.92970374,387.85800000
144,0.00184570,-1.92992684,387.53900000
145,0.00153345,-1.92985553,387.95000000
146,0.00161182,-1.92990247,388.21300000
147,0.00167017,-1.92992768,388.60100000
148,0.00171411,-1.92997648,388.59700000
149,0.00177026,-1.92991925,389.34500000
150,0.00162671,-1.92985026,390.02200000
151,0.00156787,-1.92976576,390.70000000
152,0.00152637,-1.92976266,390.93600000
153,0.00158887,-1.92994132,391.00000000
154,0.00160132,-1.93009227,390.77200000
155,0.00150928,-1.93023630,390.46100000
156,0.00135693,-1.93015215,391.31600000
157,0.00135400,-1.93029819,390.97800000
158,0.00128979,-1.93005899,391.80900000
159,0.00124536,-1.93014500,391.93600000
160,0.00126514,-1.93037461,391.82200000
161,0.00119214,-1.93029971,391.87200000
162,0.00115137,-1.93039147,391.87100000
163,0.00116504,-1.93018609,392.77400000
164,0.00137500,-1.93047575,392.40900000
165,0.00137573,-1.93036108,393.48300000
166,0.00132251,-1.93027198,393.99600000
167,0.00148608,-1.93066757,393.39100000
168,0.00141895,-1.93041623,394.22700000
169,0.00168335,-1.93049573,394.46000000
170,0.00151147,-1.93050237,394.67200000
171,0.00163623,-1.93051582,394.90000000
172,0.00162036,-1.93049195,395.47100000
173,0.00166382,-1.93044853,396.06300000
174,0.00178027,-1.93057233,395.79100000
175,0.00178247,-1.93044036,396.56800000
176,0.00147559,-1.93042577,397.11000000
177,0.00150928,-1.93062538,396.54500000
178,0.00145068,-1.93093076,396.17500000
179,0.00157178,-1.93092449,396.40900000
180,0.00143872,-1.93100816,396.23400000
181,0.00153857,-1.93115163,396.40700000
182,0.00131592,-1.93096897,396.60100000
183,0.00152832,-1.93102565,396.89300000
184,0.00156372,-1.93106394,397.21100000
185,0.00163843,-1.93124771,396.42800000
186,0.00171631,-1.93123992,396.67500000
187,0.00184253,-1.93131631,397.08200000
188,0.00181201,-1.93116920,397.83900000
189,0.00196191,-1.93131158,398.09200000
190,0.00185718,-1.93122759,398.91900000
191,0.00194507,-1.93146317,398.41000000
192,0.00195361,-1.93146230,398.09000000
193,0.00217188,-1.93152820,398.10900000
194,0.00207153,-1.93148232,398.84300000
195,0.00206470,-1.93153079,398.54600000
196,0.00188330,-1.93149057,399.31700000
197,0.00215356,-1.93126545,399.68000000
198,0.00214673,-1.93122663,400.51600000
199,0.00209985,-1.93158570,399.89800000
200,0.00210889,-1.93161518,400.20800000
201,0.00185425,-1.93167303,400.21400000
202,0.00174634,-1.93176516,400.03500000
203,0.00183472,-1.93171416,400.28400000
204,0.00191504,-1.93166606,400.88700000
205,0.00196582,-1.93153581,401.31300000
206,0.00194067,-1.93182419,400.69600000
207,0.00168726,-1.93168888,401.34400000
208,0.00153101,-1.93188313,401.16100000
209,0.00147119,-1.93177959,401.54900000
210,0.00141309,-1.93166210,402.06500000
211,0.00152905,-1.93191485,401.56600000
212,0.00148779,-1.93184131,402.10600000
