2D FM Ising; L=64; T=0.10; s_hi=1.00; s_Hi=0.32; MC steps= 1.00e+05; repeat=1000; Final_E=-7978.54; Final_M=-36;
mc_step,mag,energy,domain_len
0,0.00000000,-1.93715417,128.00000000
1,-0.00004688,-1.93860807,136.27800000
2,-0.00013232,-1.94005059,139.15200000
3,-0.00020215,-1.94113437,140.48400000
4,-0.00019873,-1.94186603,141.02200000
5,-0.00025342,-1.94239384,141.34800000
6,-0.00025342,-1.94276825,141.56200000
7,-0.00027881,-1.94306327,141.80000000
8,-0.00025684,-1.94325526,141.96600000
9,-0.00025342,-1.94341683,142.12200000
10,-0.00024561,-1.94354767,142.22000000
11,-0.00026709,-1.94367404,142.28800000
12,-0.00023633,-1.94376005,142.43400000
13,-0.00026367,-1.94384343,142.58200000
14,-0.00025391,-1.94392723,142.63000000
15,-0.00024951,-1.94398825,142.72000000
16,-0.00024707,-1.94403522,142.76000000
17,-0.00023877,-1.94408295,142.82600000
18,-0.00024170,-1.94413568,142.95000000
19,-0.00023242,-1.94418892,142.98600000
20,-0.00021680,-1.94422980,143.01600000
21,-0.00022559,-1.94426798,143.09000000
22,-0.00023486,-1.94430642,143.18000000
23,-0.00023242,-1.94434429,143.18400000
24,-0.00022900,-1.94438364,143.24000000
25,-0.00024316,-1.94441344,143.25400000
26,-0.00025537,-1.94444046,143.29200000
27,-0.00025098,-1.94448263,143.34400000
28,-0.00024170,-1.94451327,143.40000000
29,-0.00023877,-1.94453734,143.48200000
30,-0.00024365,-1.94456146,143.52000000
31,-0.00025146,-1.94459221,143.54400000
32,-0.00025000,-1.94461475,143.63600000
33,-0.00026416,-1.94464460,143.67800000
34,-0.00024805,-1.94467197,143.72600000
35,-0.00025000,-1.94470110,143.69200000
36,-0.00027344,-1.94472373,143.72000000
37,-0.00027686,-1.94474580,143.79000000
38,-0.00029053,-1.94477698,143.78000000
39,-0.00026660,-1.94480657,143.82400000
40,-0.00029687,-1.94482502,143.84200000
41,-0.00030322,-1.94485073,143.79400000
42,-0.00030127,-1.94486718,143.84000000
43,-0.00028564,-1.94488128,143.90800000
44,-0.00029004,-1.94490106,143.94200000
45,-0.00031104,-1.94492077,143.98400000
46,-0.00031641,-1.94494352,144.08600000
47,-0.00028760,-1.94495839,144.03800000
48,-0.00029395,-1.94497454,144.11200000
49,-0.00027197,-1.94499718,144.17200000
50,-0.00030127,-1.94501897,144.17000000
51,-0.00029297,-1.94503826,144.16800000
52,-0.00030469,-1.94504823,144.19800000
53,-0.00031152,-1.94505936,144.19600000
54,-0.00028857,-1.94507231,144.25200000
55,-0.00028223,-1.94508628,144.33600000
56,-0.00027100,-1.94509810,144.31800000
57,-0.00031006,-1.94511805,144.28200000
58,-0.00033594,-1.94513483,144.32200000
59,-0.00033691,-1.94514996,144.33400000
60,-0.00033252,-1.94515789,144.38200000
61,-0.00035742,-1.94516657,144.39800000
