2D FM Ising; L=128; T=0.60; s_hi=1.00; s_Hi=0.77; MC steps= 1.00e+04; repeat=500; Final_E=-32801.85; Final_M=-776;
mc_step,mag,energy,domain_len
0,0.00000000,-1.96945953,256.00000000
1,-0.00001001,-1.96858559,321.93200000
2,0.00000317,-1.96896065,349.82400000
3,-0.00006860,-1.96955334,365.25600000
4,-0.00007739,-1.97017913,375.35200000
5,-0.00004321,-1.97075227,382.96400000
6,-0.00001514,-1.97131852,387.19600000
7,0.00001929,-1.97169228,392.47600000
8,-0.00000488,-1.97211785,395.40400000
9,0.00004224,-1.97244767,399.48800000
10,0.00001416,-1.97273494,402.16400000
11,0.00005933,-1.97304202,405.04400000
12,0.00005078,-1.97331058,406.76000000
13,-0.00000391,-1.97353470,408.44000000
14,0.00001343,-1.97369626,410.82800000
15,-0.00001538,-1.97396895,411.94800000
16,-0.00007617,-1.97412913,414.45600000
17,-0.00008008,-1.97432454,415.49200000
18,0.00001001,-1.97453591,416.94800000
19,-0.00001172,-1.97460277,419.35600000
20,0.00003906,-1.97474995,420.34000000
21,0.00002393,-1.97485725,422.55200000
22,-0.00000439,-1.97505842,423.00800000
23,-0.00001343,-1.97516307,424.38000000
24,-0.00012451,-1.97521863,426.38800000
25,-0.00012549,-1.97532506,426.69600000
26,-0.00015259,-1.97544571,427.47600000
27,-0.00009863,-1.97552677,428.27200000
28,-0.00008179,-1.97557882,430.72000000
29,-0.00005420,-1.97573720,430.41200000
30,-0.00004370,-1.97584175,430.69200000
31,0.00002075,-1.97587530,432.64000000
32,-0.00004761,-1.97592844,434.60800000
33,-0.00001099,-1.97601844,435.02800000
34,-0.00000952,-1.97615353,435.77600000
35,0.00002954,-1.97622340,436.72000000
36,0.00007690,-1.97624160,437.94000000
37,0.00000757,-1.97627368,439.82800000
38,0.00007007,-1.97639541,439.97600000
39,0.00003931,-1.97644780,440.58800000
40,0.00012183,-1.97650451,441.40000000
41,0.00013745,-1.97656331,442.36400000
42,0.00004810,-1.97661393,443.02000000
43,-0.00003467,-1.97674589,442.52000000
44,-0.00004077,-1.97682015,442.43200000
45,-0.00011230,-1.97687530,443.29200000
46,-0.00008936,-1.97689785,444.27600000
47,-0.00004980,-1.97696340,444.67600000
48,-0.00014966,-1.97700577,445.44000000
49,-0.00014624,-1.97705715,445.86400000
50,-0.00017944,-1.97710257,447.19200000
51,-0.00015552,-1.97719751,446.67600000
52,-0.00014771,-1.97722076,447.02000000
53,-0.00012842,-1.97721958,448.99600000
54,-0.00006055,-1.97725715,449.80400000
55,-0.00006763,-1.97734708,450.62000000
56,-0.00006982,-1.97739690,450.62400000
57,-0.00003589,-1.97738773,451.72000000
58,-0.00003345,-1.97748008,451.35600000
59,-0.00003516,-1.97750453,452.25600000
60,-0.00009448,-1.97764904,450.01600000
61,-0.00012793,-1.97767267,450.45200000
62,-0.00018994,-1.97766229,452.23200000
63,-0.00022095,-1.97769259,452.91600000
64,-0.00027393,-1.97766772,454.29200000
65,-0.00020898,-1.97772105,454.11600000
66,-0.00026099,-1.97780543,453.86400000
67,-0.00020312,-1.97786642,454.16800000
68,-0.00018359,-1.97792420,454.38800000
69,-0.00020288,-1.97785580,455.64800000
70,-0.00022974,-1.97792093,457.04000000
71,-0.00019849,-1.97792804,457.85600000
72,-0.00017896,-1.97794475,458.61600000
73,-0.00014355,-1.97801911,458.17600000
74,-0.00015308,-1.97808986,457.93600000
75,-0.00017920,-1.97810710,458.07200000
76,-0.00024951,-1.97807495,459.03600000
77,-0.00018945,-1.97808067,460.20000000
78,-0.00024487,-1.97814969,459.75200000
79,-0.00013721,-1.97817197,460.89200000
