2D FM Ising; L=64; T=0.50; s_hi=1.00; s_Hi=0.71; MC steps= 1.00e+05; repeat=1000; Final_E=-8091.84; Final_M=-682;
mc_step,mag,energy,domain_len
0,0.00000000,-1.93794377,128.00000000
1,0.00004150,-1.93895898,143.26800000
2,0.00004980,-1.94069718,149.72600000
3,0.00006982,-1.94228091,153.08000000
4,0.00001416,-1.94355642,155.45600000
5,-0.00001514,-1.94474302,157.14400000
6,-0.00004150,-1.94567397,158.57200000
7,0.00000488,-1.94650426,159.74400000
8,-0.00003760,-1.94722068,160.75200000
9,-0.00016504,-1.94785073,161.64000000
10,-0.00017822,-1.94841792,162.50200000
11,-0.00015674,-1.94890557,163.46200000
12,-0.00016650,-1.94937972,164.01400000
13,-0.00020166,-1.94980222,164.80000000
14,-0.00020459,-1.95018383,165.39400000
15,-0.00017334,-1.95054590,165.95800000
16,-0.00019141,-1.95085752,166.44400000
17,-0.00028174,-1.95117314,166.83200000
18,-0.00030273,-1.95145840,167.22000000
19,-0.00023193,-1.95174168,167.48800000
20,-0.00023486,-1.95198471,168.14200000
21,-0.00016895,-1.95222033,168.51000000
22,-0.00034521,-1.95242854,168.88400000
23,-0.00028906,-1.95264217,168.90800000
24,-0.00027734,-1.95278838,169.75800000
25,-0.00022607,-1.95301882,169.93600000
26,-0.00032910,-1.95321983,170.31800000
27,-0.00030420,-1.95343715,170.33600000
28,-0.00019482,-1.95357847,170.87400000
29,-0.00028076,-1.95378182,171.00200000
30,-0.00032178,-1.95391253,171.28800000
31,-0.00026416,-1.95408633,171.49600000
32,-0.00027832,-1.95425471,171.65000000
33,-0.00031494,-1.95441814,171.81600000
34,-0.00034033,-1.95451902,172.07600000
35,-0.00035596,-1.95462133,172.45600000
36,-0.00035742,-1.95472211,172.71200000
37,-0.00033545,-1.95486786,172.89200000
38,-0.00039746,-1.95496350,173.12800000
39,-0.00041650,-1.95512257,173.20800000
40,-0.00042187,-1.95524243,173.41800000
41,-0.00037012,-1.95535445,173.56400000
42,-0.00035254,-1.95545984,173.64200000
43,-0.00033691,-1.95550854,174.07600000
44,-0.00032715,-1.95566791,174.02600000
45,-0.00036182,-1.95571585,174.32800000
46,-0.00043457,-1.95583177,174.48400000
47,-0.00037402,-1.95591037,174.71200000
48,-0.00028369,-1.95598111,174.92200000
49,-0.00035498,-1.95610828,174.90600000
50,-0.00038721,-1.95618043,175.27200000
51,-0.00036475,-1.95630030,175.33000000
52,-0.00037354,-1.95636883,175.45600000
53,-0.00040186,-1.95645625,175.55600000
54,-0.00032324,-1.95653487,175.84200000
55,-0.00032178,-1.95656276,176.07000000
