2D FM Ising; L=64; T=0.50; s_hi=1.00; s_Hi=0.71; MC steps= 1.00e+04; repeat=500; Final_E=-8171.46; Final_M=164;
mc_step,mag,energy,domain_len
0,0.00000000,-1.93774436,128.00000000
1,0.00012988,-1.93864320,142.99200000
2,0.00016797,-1.94015338,149.10000000
3,0.00028906,-1.94165439,152.66400000
4,0.00033594,-1.94294741,154.80000000
5,0.00036230,-1.94392424,156.68000000
6,0.00036328,-1.94488398,157.80800000
7,0.00035840,-1.94561182,159.18400000
8,0.00037402,-1.94628698,160.15600000
9,0.00035156,-1.94695099,160.80000000
10,0.00050977,-1.94749043,161.75200000
11,0.00050000,-1.94796994,162.78000000
12,0.00060937,-1.94847273,163.48800000
13,0.00072949,-1.94891563,163.98800000
14,0.00070996,-1.94931287,164.26000000
15,0.00070410,-1.94968867,164.98000000
16,0.00051367,-1.94986999,166.14800000
17,0.00058887,-1.95021741,166.47200000
18,0.00049805,-1.95049327,166.49200000
19,0.00044727,-1.95076491,167.00800000
20,0.00052051,-1.95099440,167.36400000
21,0.00046875,-1.95120483,167.98000000
22,0.00043652,-1.95142829,168.16800000
23,0.00038574,-1.95166834,168.77600000
24,0.00038379,-1.95193535,168.98400000
25,0.00044629,-1.95211588,169.40000000
26,0.00050684,-1.95230686,169.82400000
27,0.00039746,-1.95244280,170.18400000
28,0.00041211,-1.95263432,170.38000000
29,0.00049316,-1.95283334,170.50000000
30,0.00043750,-1.95298741,171.11200000
31,0.00051563,-1.95322267,171.14800000
32,0.00065332,-1.95333971,171.65600000
33,0.00060352,-1.95349103,171.85200000
34,0.00046289,-1.95361648,172.06800000
35,0.00048145,-1.95370710,172.50400000
36,0.00050293,-1.95387707,172.52800000
37,0.00043359,-1.95398342,172.83600000
38,0.00033691,-1.95412360,172.98800000
39,0.00043457,-1.95425123,172.96000000
40,0.00044824,-1.95434397,173.36000000
41,0.00042383,-1.95451655,173.44000000
42,0.00035254,-1.95461356,173.95600000
43,0.00043457,-1.95468323,174.14000000
44,0.00040820,-1.95479919,174.66800000
45,0.00048340,-1.95495110,174.49200000
46,0.00054785,-1.95504310,174.70800000
47,0.00049219,-1.95509202,175.06800000
48,0.00038281,-1.95524575,175.14400000
49,0.00030469,-1.95534870,175.31600000
50,0.00037207,-1.95545187,175.35200000
51,0.00040332,-1.95552567,175.66800000
52,0.00034766,-1.95559093,175.84800000
53,0.00033203,-1.95570664,175.93200000
54,0.00036328,-1.95578975,176.19600000
55,0.00043555,-1.95583287,176.53200000
56,0.00035937,-1.95594137,176.41600000
57,0.00037305,-1.95604797,176.72400000
58,0.00041992,-1.95614002,176.66400000
59,0.00041797,-1.95612730,177.04800000
60,0.00037793,-1.95618243,177.45200000
61,0.00042871,-1.95626841,177.44800000
62,0.00048145,-1.95630643,177.70400000
63,0.00050586,-1.95644157,177.54400000
64,0.00056543,-1.95655294,177.50400000
65,0.00046875,-1.95661760,177.72000000
66,0.00041504,-1.95667537,177.92000000
67,0.00038672,-1.95670304,178.26000000
68,0.00043945,-1.95682408,178.10800000
69,0.00044824,-1.95690381,178.10800000
70,0.00043457,-1.95697924,178.00800000
71,0.00032031,-1.95697698,178.37600000
72,0.00035547,-1.95704821,178.48400000
73,0.00045410,-1.95710301,178.56400000
74,0.00049121,-1.95711620,179.00800000
75,0.00031934,-1.95719635,178.97600000
76,0.00049805,-1.95724471,179.09200000
77,0.00041992,-1.95729443,179.08800000
78,0.00033691,-1.95737078,179.02000000
79,0.00033301,-1.95732754,179.62800000
80,0.00041699,-1.95744845,179.39200000
81,0.00050293,-1.95746729,179.54800000
82,0.00042090,-1.95747320,179.82000000
83,0.00045020,-1.95756518,179.62000000
84,0.00049316,-1.95768067,179.46400000
85,0.00037012,-1.95773813,179.68800000
86,0.00040820,-1.95776901,180.05600000
87,0.00041992,-1.95781826,179.84800000
88,0.00041309,-1.95790290,179.74800000
89,0.00041406,-1.95795019,179.84400000
90,0.00041211,-1.95794762,180.39200000
91,0.00046875,-1.95798228,180.61600000
92,0.00047754,-1.95805944,180.46000000
93,0.00051074,-1.95810628,180.52000000
94,0.00044238,-1.95820575,180.49600000
95,0.00045898,-1.95819892,180.87200000
96,0.00057715,-1.95827469,180.66400000
97,0.00062012,-1.95827144,181.15600000
98,0.00065527,-1.95831433,181.12800000
99,0.00070215,-1.95835820,181.08800000
100,0.00071680,-1.95841132,181.11600000
101,0.00084180,-1.95846073,181.16000000
102,0.00073633,-1.95843394,181.33600000
103,0.00089551,-1.95848679,181.62000000
104,0.00103418,-1.95845374,181.56800000
105,0.00105664,-1.95857742,181.85200000
106,0.00115332,-1.95857722,181.84800000
107,0.00114941,-1.95871647,181.58800000
108,0.00104492,-1.95875242,181.69600000
109,0.00113086,-1.95877206,181.98000000
110,0.00122461,-1.95883999,181.80400000
111,0.00119629,-1.95890380,181.97200000
112,0.00114355,-1.95890305,182.15600000
113,0.00112695,-1.95891110,182.30800000
114,0.00125488,-1.95897842,182.30000000
115,0.00117578,-1.95901098,182.14000000
116,0.00105859,-1.95903496,182.22000000
117,0.00122949,-1.95910902,182.38400000
118,0.00109375,-1.95910866,182.73200000
119,0.00115625,-1.95912598,182.56000000
120,0.00109668,-1.95916659,182.64000000
121,0.00115332,-1.95926008,182.50800000
122,0.00093164,-1.95924657,182.98400000
123,0.00089160,-1.95921706,183.20000000
124,0.00104785,-1.95929470,183.08800000
125,0.00113965,-1.95931802,183.32800000
126,0.00105566,-1.95936863,183.14800000
127,0.00114160,-1.95937475,183.33600000
128,0.00119336,-1.95939098,183.47600000
129,0.00117480,-1.95941662,183.45200000
130,0.00122559,-1.95951052,183.34800000
131,0.00136621,-1.95951787,183.36000000
132,0.00139551,-1.95956596,183.54000000
133,0.00131641,-1.95957815,183.81200000
134,0.00125879,-1.95967395,183.39600000
135,0.00139941,-1.95969256,183.63200000
136,0.00139355,-1.95973038,183.67200000
137,0.00148828,-1.95972652,183.64800000
138,0.00141504,-1.95975870,183.72800000
139,0.00136133,-1.95981016,183.48000000
140,0.00131348,-1.95983932,183.57600000
141,0.00131152,-1.95982938,183.55200000
142,0.00144824,-1.95986342,183.30800000
143,0.00145117,-1.95987608,183.72000000
144,0.00139062,-1.95987290,183.93200000
145,0.00126563,-1.95991295,184.10000000
146,0.00124414,-1.95999212,183.92800000
147,0.00125781,-1.96000186,183.99600000
148,0.00118945,-1.96001295,184.13200000
149,0.00131836,-1.96006639,184.24400000
150,0.00140039,-1.96008139,184.25200000
151,0.00142090,-1.96010112,184.32800000
152,0.00139551,-1.96014395,184.50400000
153,0.00133984,-1.96020814,184.67200000
154,0.00148438,-1.96024517,184.29600000
155,0.00154785,-1.96024071,184.24400000
156,0.00155078,-1.96029554,184.08400000
157,0.00148242,-1.96030895,184.20000000
158,0.00153320,-1.96029410,184.19600000
159,0.00150586,-1.96030952,184.40400000
160,0.00148438,-1.96031897,184.51200000
161,0.00153613,-1.96033530,184.41600000
162,0.00147363,-1.96035267,184.59600000
163,0.00148340,-1.96039225,184.77600000
164,0.00147949,-1.96039019,184.82000000
165,0.00144531,-1.96043193,185.20000000
166,0.00143164,-1.96052308,184.87600000
167,0.00143652,-1.96054523,184.62800000
168,0.00139258,-1.96053961,185.03200000
169,0.00151367,-1.96054923,185.18800000
170,0.00150488,-1.96056575,185.27200000
171,0.00153809,-1.96053781,185.35200000
172,0.00146875,-1.96057130,185.18000000
173,0.00137500,-1.96056960,185.35200000
174,0.00137500,-1.96062977,185.49200000
175,0.00147949,-1.96070193,185.44400000
176,0.00154297,-1.96069986,185.29600000
177,0.00145410,-1.96070361,185.63600000
178,0.00158008,-1.96072510,185.42000000
179,0.00144434,-1.96075671,185.46000000
180,0.00134277,-1.96084086,185.46400000
181,0.00143848,-1.96084153,185.72000000
182,0.00145020,-1.96083501,185.90400000
183,0.00135645,-1.96086423,185.77200000
184,0.00141211,-1.96084604,185.80800000
185,0.00129297,-1.96088365,186.00000000
186,0.00116602,-1.96089344,185.99200000
187,0.00125977,-1.96090239,185.94000000
188,0.00123535,-1.96085456,186.22400000
189,0.00130859,-1.96087186,186.21200000
190,0.00128320,-1.96095735,185.97200000
191,0.00128223,-1.96097376,186.05200000
192,0.00127637,-1.96101367,185.92800000
193,0.00115234,-1.96101383,186.06800000
194,0.00115430,-1.96102587,186.55200000
195,0.00115820,-1.96106814,186.35600000
196,0.00109668,-1.96110502,186.58800000
197,0.00115430,-1.96110526,186.75200000
198,0.00116016,-1.96115678,186.69200000
199,0.00115723,-1.96112938,186.96000000
200,0.00115625,-1.96115243,186.92800000
201,0.00108594,-1.96123901,186.71600000
202,0.00118750,-1.96126416,186.73200000
203,0.00125098,-1.96126453,186.86000000
204,0.00121777,-1.96125879,187.06000000
205,0.00112891,-1.96128363,187.04800000
206,0.00100781,-1.96129216,187.05600000
207,0.00093945,-1.96133164,186.98800000
208,0.00100391,-1.96135019,186.88000000
209,0.00103906,-1.96133384,187.10800000
210,0.00098926,-1.96138361,186.84800000
211,0.00102637,-1.96142437,186.87200000
212,0.00105957,-1.96142799,187.06800000
213,0.00101953,-1.96143449,187.17200000
214,0.00098242,-1.96143262,187.12400000
215,0.00092187,-1.96145849,187.38000000
216,0.00101172,-1.96145757,187.39200000
217,0.00101563,-1.96149458,187.23200000
218,0.00096973,-1.96148971,187.38400000
219,0.00101855,-1.96147592,187.42000000
220,0.00093750,-1.96156958,187.48800000
221,0.00069043,-1.96158678,187.57200000
222,0.00080371,-1.96162748,187.76800000
223,0.00080957,-1.96167042,187.72000000
224,0.00085352,-1.96171501,187.76400000
225,0.00095508,-1.96170169,187.89200000
226,0.00090430,-1.96169012,188.40800000
227,0.00107422,-1.96163555,188.33600000
228,0.00087207,-1.96168905,187.96000000
229,0.00075488,-1.96174499,187.71200000
230,0.00088574,-1.96178385,187.82800000
231,0.00092090,-1.96177462,188.01200000
232,0.00095996,-1.96177858,188.16800000
233,0.00107227,-1.96177893,188.36000000
234,0.00088672,-1.96178769,188.59600000
235,0.00103223,-1.96180299,188.28400000
236,0.00098926,-1.96186135,188.10800000
237,0.00105762,-1.96188085,188.28000000
238,0.00091797,-1.96183757,188.29600000
239,0.00093457,-1.96180398,188.75600000
240,0.00091797,-1.96188968,188.52800000
241,0.00103223,-1.96185717,188.72400000
242,0.00093457,-1.96195614,188.57200000
243,0.00100586,-1.96193515,188.53200000
244,0.00107422,-1.96195727,188.40400000
245,0.00095020,-1.96192783,188.48400000
246,0.00088672,-1.96200293,188.50800000
247,0.00096777,-1.96198063,188.49200000
248,0.00089258,-1.96202141,188.69200000
249,0.00094727,-1.96198701,188.77200000
250,0.00085938,-1.96204958,188.75200000
251,0.00078711,-1.96208590,188.76000000
252,0.00090625,-1.96214592,188.80800000
253,0.00095801,-1.96216681,189.02800000
