2D FM Ising; L=128; T=0.80; s_hi=1.00; s_Hi=0.89; MC steps= 1.00e+04; repeat=200; Final_E=-32562.56; Final_M=-1214;
mc_step,mag,energy,domain_len
0,0.00000000,-1.96913990,256.00000000
1,-0.00013184,-1.96466398,381.64000000
2,-0.00003906,-1.96352380,438.49000000
3,0.00017822,-1.96346849,465.93000000
4,0.00008118,-1.96351943,487.25000000
5,0.00029907,-1.96387347,500.15000000
6,0.00034241,-1.96405079,512.73000000
7,0.00028748,-1.96440906,518.74000000
8,0.00045166,-1.96483728,525.33000000
9,0.00036255,-1.96498668,533.20000000
10,0.00031799,-1.96522587,537.90000000
11,0.00035706,-1.96555965,539.31000000
12,0.00040466,-1.96564253,545.86000000
13,0.00041016,-1.96576610,551.22000000
14,0.00058289,-1.96604607,553.70000000
15,0.00043213,-1.96605645,558.43000000
16,0.00046814,-1.96619183,562.12000000
17,0.00060974,-1.96641473,563.46000000
18,0.00050598,-1.96656303,567.56000000
19,0.00028015,-1.96652814,571.35000000
20,0.00055054,-1.96683749,571.90000000
21,0.00049072,-1.96693966,573.94000000
22,0.00052612,-1.96709731,576.86000000
23,0.00044556,-1.96733609,575.93000000
24,0.00049622,-1.96737336,579.90000000
25,0.00036743,-1.96750840,581.65000000
26,0.00037537,-1.96750072,584.62000000
27,0.00055420,-1.96779090,584.20000000
28,0.00055054,-1.96771561,588.59000000
29,0.00050110,-1.96768853,591.28000000
30,0.00057556,-1.96793851,590.20000000
31,0.00042847,-1.96786443,595.90000000
32,0.00038940,-1.96796612,596.38000000
33,0.00021545,-1.96808658,598.21000000
34,0.00044006,-1.96797125,602.75000000
35,0.00032959,-1.96792601,605.07000000
36,0.00049011,-1.96813718,604.18000000
37,0.00040894,-1.96823580,604.09000000
38,0.00026001,-1.96810384,609.29000000
39,0.00017273,-1.96802441,611.52000000
40,0.00023376,-1.96806934,613.17000000
41,0.00020996,-1.96816497,615.32000000
42,0.00031616,-1.96845496,612.94000000
43,0.00027161,-1.96851147,613.77000000
44,0.00017761,-1.96851411,616.25000000
45,0.00013794,-1.96861544,615.57000000
46,-0.00001404,-1.96871818,615.70000000
47,0.00000427,-1.96878150,618.28000000
48,-0.00000305,-1.96861013,622.74000000
49,0.00023682,-1.96895457,619.23000000
50,0.00023865,-1.96894050,622.49000000
51,0.00005859,-1.96907378,623.09000000
52,0.00012573,-1.96912002,623.83000000
53,0.00005493,-1.96921321,622.44000000
54,0.00002991,-1.96917159,625.71000000
55,0.00003723,-1.96924996,624.62000000
56,0.00003479,-1.96949349,623.72000000
57,0.00020142,-1.96936860,627.33000000
58,0.00014648,-1.96927047,630.80000000
59,0.00004517,-1.96930218,631.93000000
60,0.00009216,-1.96924216,632.20000000
61,-0.00001221,-1.96938040,633.45000000
62,0.00002869,-1.96949340,633.79000000
63,0.00001038,-1.96937340,638.20000000
64,-0.00013550,-1.96936176,638.71000000
65,-0.00004761,-1.96950398,638.04000000
66,0.00000122,-1.96957207,639.39000000
67,0.00007202,-1.96951435,641.24000000
68,0.00008545,-1.96950846,642.91000000
69,0.00005188,-1.96964129,641.70000000
70,-0.00008057,-1.96967638,641.90000000
71,0.00008301,-1.96967828,641.65000000
72,0.00006958,-1.96975380,642.19000000
73,0.00002808,-1.96989958,642.19000000
74,0.00007385,-1.96994990,642.97000000
75,0.00031555,-1.96991894,644.76000000
76,0.00031006,-1.97003246,646.97000000
77,0.00052185,-1.96998724,646.32000000
78,0.00048035,-1.96998480,649.49000000
79,0.00042358,-1.97006365,649.33000000
80,0.00048645,-1.97023394,648.14000000
81,0.00063782,-1.97002073,651.88000000
82,0.00053101,-1.97007706,653.25000000
83,0.00066772,-1.97023048,652.64000000
84,0.00065308,-1.97008438,655.15000000
85,0.00058899,-1.97029152,653.55000000
86,0.00055603,-1.97033853,654.07000000
87,0.00049133,-1.97028870,656.22000000
88,0.00037170,-1.97020602,659.36000000
89,0.00038757,-1.97009449,661.30000000
90,0.00053162,-1.97011910,660.57000000
91,0.00065308,-1.97008953,663.85000000
92,0.00070618,-1.97005429,665.08000000
93,0.00059875,-1.97025948,663.39000000
94,0.00049927,-1.97015728,666.15000000
95,0.00035034,-1.97011110,666.88000000
96,0.00030396,-1.97038612,664.41000000
97,0.00023315,-1.97021853,668.79000000
98,0.00030396,-1.97019005,671.44000000
99,0.00020691,-1.97018393,672.65000000
100,0.00007935,-1.97039243,669.97000000
101,0.00005493,-1.97048686,669.20000000
102,0.00018921,-1.97048618,668.60000000
103,0.00023315,-1.97062633,666.12000000
104,0.00027222,-1.97055042,669.62000000
105,0.00040771,-1.97057971,669.12000000
106,0.00043823,-1.97042844,671.30000000
107,0.00036560,-1.97032707,674.26000000
108,0.00042358,-1.97053159,673.20000000
109,0.00047485,-1.97065382,672.36000000
110,0.00032471,-1.97051758,673.69000000
111,0.00037354,-1.97059667,673.72000000
112,0.00042236,-1.97065828,674.11000000
113,0.00030334,-1.97065922,675.63000000
114,0.00034790,-1.97069154,675.63000000
115,0.00055542,-1.97075727,677.48000000
116,0.00047852,-1.97092874,676.52000000
117,0.00037048,-1.97107344,673.76000000
118,0.00044128,-1.97103524,674.72000000
119,0.00053406,-1.97097303,678.50000000
120,0.00057190,-1.97096429,678.35000000
121,0.00062439,-1.97093030,680.16000000
122,0.00069397,-1.97088985,680.45000000
123,0.00056030,-1.97090391,680.02000000
124,0.00041138,-1.97112766,678.61000000
125,0.00034546,-1.97114726,680.88000000
126,0.00017639,-1.97105527,683.43000000
127,0.00002686,-1.97101676,685.27000000
128,0.00019409,-1.97087828,687.22000000
129,0.00011108,-1.97120518,682.48000000
130,0.00022766,-1.97134360,682.61000000
131,0.00017273,-1.97124979,684.34000000
132,0.00009583,-1.97130186,683.74000000
133,0.00029663,-1.97131018,685.63000000
134,0.00028015,-1.97127636,684.12000000
135,0.00032104,-1.97139896,681.47000000
136,0.00040710,-1.97129581,684.76000000
137,0.00036804,-1.97142726,683.63000000
138,0.00053833,-1.97161927,683.17000000
139,0.00047852,-1.97137355,686.28000000
140,0.00060547,-1.97130134,688.08000000
141,0.00060852,-1.97138048,690.29000000
142,0.00064758,-1.97142821,689.86000000
143,0.00071228,-1.97154477,686.63000000
144,0.00074097,-1.97166223,686.31000000
145,0.00094849,-1.97146340,690.48000000
146,0.00096375,-1.97127461,693.51000000
147,0.00085144,-1.97136486,693.46000000
148,0.00093567,-1.97153937,692.80000000
149,0.00094360,-1.97137245,694.61000000
150,0.00081848,-1.97118886,697.00000000
151,0.00095154,-1.97130895,697.29000000
152,0.00116028,-1.97124788,699.53000000
153,0.00104126,-1.97128909,699.25000000
154,0.00077087,-1.97148662,697.26000000
155,0.00069275,-1.97146959,698.13000000
156,0.00078796,-1.97150993,697.81000000
157,0.00081055,-1.97161472,696.04000000
158,0.00068848,-1.97153839,697.69000000
159,0.00073425,-1.97172154,695.99000000
160,0.00073425,-1.97174877,696.24000000
161,0.00076111,-1.97165504,699.40000000
162,0.00072754,-1.97154978,700.47000000
163,0.00073792,-1.97181007,699.43000000
164,0.00076050,-1.97175434,698.74000000
165,0.00082031,-1.97169819,700.74000000
166,0.00072876,-1.97168847,700.08000000
167,0.00069458,-1.97181903,699.65000000
168,0.00051697,-1.97166893,702.09000000
169,0.00066772,-1.97156364,704.33000000
170,0.00087708,-1.97157935,705.22000000
171,0.00074951,-1.97149317,707.40000000
172,0.00067627,-1.97154311,707.09000000
173,0.00072998,-1.97156683,706.69000000
174,0.00073547,-1.97167233,705.08000000
175,0.00092651,-1.97169713,705.03000000
176,0.00084229,-1.97177069,705.72000000
177,0.00076538,-1.97196239,701.57000000
178,0.00065613,-1.97195002,702.15000000
179,0.00072998,-1.97177989,704.98000000
180,0.00079407,-1.97194528,703.66000000
181,0.00077026,-1.97199919,704.07000000
182,0.00080322,-1.97192881,705.35000000
183,0.00089722,-1.97199457,705.15000000
184,0.00082031,-1.97205335,705.05000000
185,0.00063721,-1.97211217,704.39000000
186,0.00057190,-1.97213614,705.22000000
187,0.00074829,-1.97205213,707.69000000
188,0.00079712,-1.97213402,707.17000000
189,0.00071228,-1.97203499,707.56000000
190,0.00075562,-1.97210016,709.24000000
191,0.00062073,-1.97219220,709.25000000
192,0.00062622,-1.97216488,711.16000000
193,0.00070496,-1.97195468,715.93000000
194,0.00075317,-1.97191198,715.19000000
195,0.00082458,-1.97205024,714.54000000
196,0.00093750,-1.97200789,715.63000000
197,0.00080811,-1.97184933,719.01000000
198,0.00091370,-1.97200169,719.07000000
199,0.00085449,-1.97216919,715.85000000
200,0.00088745,-1.97210152,717.11000000
201,0.00081421,-1.97199319,719.53000000
202,0.00071594,-1.97198175,719.87000000
203,0.00083374,-1.97206517,719.39000000
204,0.00075928,-1.97208000,719.43000000
205,0.00068726,-1.97209171,719.96000000
206,0.00071899,-1.97217453,718.97000000
207,0.00051514,-1.97228643,716.90000000
208,0.00074890,-1.97233989,716.22000000
209,0.00071594,-1.97230893,718.54000000
210,0.00082886,-1.97230827,719.59000000
211,0.00072815,-1.97234978,720.12000000
212,0.00071228,-1.97220289,723.34000000
213,0.00058472,-1.97204350,724.06000000
214,0.00049805,-1.97201642,725.40000000
215,0.00051147,-1.97219711,722.88000000
216,0.00051575,-1.97222615,723.83000000
217,0.00050537,-1.97223546,724.05000000
218,0.00047241,-1.97235018,723.15000000
219,0.00042542,-1.97246004,721.64000000
220,0.00033264,-1.97245059,721.80000000
221,0.00045105,-1.97256240,720.60000000
222,0.00039856,-1.97239662,724.59000000
223,0.00046509,-1.97231439,725.62000000
224,0.00076599,-1.97262087,722.38000000
225,0.00062012,-1.97249315,724.01000000
226,0.00079285,-1.97236142,726.38000000
227,0.00071594,-1.97236270,727.21000000
228,0.00083618,-1.97247335,726.47000000
229,0.00085449,-1.97237607,728.11000000
230,0.00103210,-1.97226471,729.40000000
231,0.00102112,-1.97237936,729.70000000
232,0.00107239,-1.97250785,728.30000000
233,0.00106628,-1.97262706,727.99000000
234,0.00098999,-1.97256681,727.83000000
235,0.00117981,-1.97226979,733.52000000
236,0.00109497,-1.97262052,727.66000000
237,0.00090942,-1.97251733,729.06000000
238,0.00091248,-1.97280029,726.41000000
239,0.00081238,-1.97264858,729.95000000
240,0.00073975,-1.97275873,730.36000000
241,0.00076233,-1.97266836,730.89000000
242,0.00082397,-1.97265485,730.54000000
243,0.00095032,-1.97266258,731.40000000
244,0.00092834,-1.97252884,734.75000000
245,0.00075073,-1.97255104,734.61000000
246,0.00091980,-1.97253253,735.00000000
247,0.00093689,-1.97241664,736.16000000
248,0.00089966,-1.97242142,736.66000000
249,0.00088623,-1.97244490,736.40000000
250,0.00078979,-1.97244692,737.47000000
251,0.00069031,-1.97278143,732.46000000
252,0.00066223,-1.97286077,731.34000000
253,0.00062439,-1.97284383,732.08000000
254,0.00063477,-1.97292379,732.43000000
255,0.00067200,-1.97281977,734.77000000
256,0.00070190,-1.97265165,736.33000000
257,0.00073303,-1.97273991,737.10000000
258,0.00065918,-1.97289493,735.92000000
259,0.00062622,-1.97264732,740.87000000
260,0.00071106,-1.97284531,738.99000000
261,0.00075989,-1.97264008,741.07000000
262,0.00075073,-1.97269535,740.45000000
263,0.00067139,-1.97257769,741.78000000
264,0.00054077,-1.97267369,741.07000000
265,0.00046570,-1.97255026,741.97000000
266,0.00064148,-1.97262999,741.30000000
267,0.00066589,-1.97283918,739.12000000
268,0.00063843,-1.97271785,739.95000000
269,0.00052795,-1.97289083,739.61000000
270,0.00064941,-1.97293757,740.47000000
271,0.00056519,-1.97310581,739.50000000
272,0.00045898,-1.97278562,742.01000000
273,0.00021606,-1.97288901,742.52000000
274,0.00040955,-1.97265687,743.16000000
