2D FM Ising; L=128; T=0.10; s_hi=1.00; s_Hi=0.32; MC steps= 1.00e+04; repeat=500; Final_E=-32455.55; Final_M=-158;
mc_step,mag,energy,domain_len
0,0.00000000,-1.96986029,256.00000000
1,0.00003003,-1.97054619,275.22800000
2,0.00002563,-1.97127876,282.40800000
3,-0.00000635,-1.97186298,286.04000000
4,-0.00000146,-1.97231334,287.90000000
5,-0.00003125,-1.97267905,289.24400000
6,-0.00002832,-1.97296219,290.26000000
7,-0.00003857,-1.97319312,290.93200000
8,-0.00005151,-1.97337552,291.61200000
9,-0.00005444,-1.97352149,292.35600000
10,-0.00007617,-1.97365084,292.92000000
11,-0.00009546,-1.97377286,293.20400000
12,-0.00011621,-1.97387247,293.87200000
13,-0.00013110,-1.97395395,294.17200000
14,-0.00013745,-1.97403129,294.75600000
15,-0.00014453,-1.97410039,294.93200000
16,-0.00014185,-1.97415991,295.13600000
17,-0.00016431,-1.97421852,295.61600000
18,-0.00015820,-1.97427691,295.99600000
19,-0.00015137,-1.97432162,296.48800000
20,-0.00015552,-1.97437603,296.53600000
21,-0.00016235,-1.97441710,296.86000000
22,-0.00017041,-1.97446832,297.00400000
23,-0.00017627,-1.97450904,297.21600000
24,-0.00014380,-1.97454866,297.46000000
25,-0.00016309,-1.97459192,297.63600000
26,-0.00017017,-1.97463102,298.16000000
27,-0.00017480,-1.97466444,298.21600000
28,-0.00018408,-1.97469648,298.46000000
29,-0.00016602,-1.97472924,298.55600000
30,-0.00014575,-1.97476273,298.53600000
31,-0.00013037,-1.97478340,298.77600000
32,-0.00013940,-1.97480906,298.76000000
33,-0.00014502,-1.97483289,298.83200000
34,-0.00015234,-1.97486046,299.13600000
35,-0.00017725,-1.97487787,299.37200000
36,-0.00019067,-1.97490437,299.37600000
37,-0.00016724,-1.97493208,299.60400000
38,-0.00015601,-1.97495544,299.52800000
39,-0.00016602,-1.97497322,299.74800000
40,-0.00017993,-1.97500340,299.89600000
41,-0.00017432,-1.97502458,300.05600000
42,-0.00016357,-1.97504327,300.12400000
43,-0.00016040,-1.97506337,300.44800000
44,-0.00016528,-1.97508174,300.57200000
45,-0.00014209,-1.97509831,300.58400000
46,-0.00015747,-1.97512431,300.54000000
47,-0.00014624,-1.97513768,300.70800000
48,-0.00015723,-1.97515901,300.78000000
49,-0.00016235,-1.97517578,301.11600000
50,-0.00017187,-1.97519078,300.96000000
51,-0.00017969,-1.97520685,301.09200000
52,-0.00017822,-1.97522237,301.33600000
53,-0.00017310,-1.97524310,301.36400000
54,-0.00016748,-1.97526206,301.47200000
55,-0.00015967,-1.97527520,301.36000000
56,-0.00019312,-1.97529116,301.42800000
57,-0.00019995,-1.97530244,301.85200000
58,-0.00020093,-1.97531993,301.81600000
59,-0.00017407,-1.97533334,301.90000000
60,-0.00017822,-1.97534841,301.82000000
61,-0.00016968,-1.97536122,301.89200000
62,-0.00017847,-1.97537138,302.07200000
63,-0.00014404,-1.97537761,302.30800000
64,-0.00016064,-1.97539212,302.14800000
65,-0.00015479,-1.97540417,302.20400000
66,-0.00017041,-1.97541406,302.38400000
67,-0.00017896,-1.97542343,302.45200000
68,-0.00015967,-1.97543673,302.38000000
69,-0.00018042,-1.97544690,302.58800000
70,-0.00016992,-1.97545643,302.76800000
71,-0.00017139,-1.97546786,302.72400000
72,-0.00016846,-1.97547916,302.95600000
73,-0.00015796,-1.97548900,302.92000000
74,-0.00015796,-1.97549736,302.95200000
75,-0.00017920,-1.97551129,302.86800000
76,-0.00018140,-1.97552822,303.21600000
77,-0.00018457,-1.97553586,303.16000000
78,-0.00019189,-1.97554523,303.42800000
79,-0.00020386,-1.97555316,303.49600000
80,-0.00021509,-1.97556872,303.51200000
81,-0.00023560,-1.97557873,303.83200000
82,-0.00022437,-1.97559336,303.71200000
83,-0.00022559,-1.97560418,303.77600000
